1058,5773511.895,341887.323,679.103,Wetland-Point,2025-07-09,1:46pm
1059,5773514.734,341885.457,678.637,Wetland-Point,2025-07-09,1:48pm
1060,5773517.683,341889.249,678.992,Wetland-Point,2025-07-09,1:49pm
1061,5773518.815,341888.617,678.015,Wetland-Point,2025-07-09,1:51pm
1062,5773520.490,341891.062,678.963,Wetland-Point,2025-07-09,1:53pm
1063,5773522.451,341893.287,678.315,Wetland-Point,2025-07-09,1:54pm
1064,5773524.483,341889.842,679.175,Wetland-Point,2025-07-09,1:56pm
1065,5773531.106,341893.719,678.343,Wetland-Point,2025-07-09,1:57pm
1066,5773535.488,341895.964,678.335,Wetland-Point,2025-07-09,1:59pm
108,5773549.545,341913.778,678.996,Open Water-Point,2025-07-09,2:04pm
